days,date,circ_supply,network_gas_burn,day_locked_pledge,day_renewed_pledge,network_locked_pledge,network_locked,network_locked_reward,disbursed_reserve,total_vest,network_RBP,network_QAP,day_onboarded_power_QAP,day_renewed_power_QAP,cum_simple_reward,network_baseline,capped_power,cum_capped_power,network_time,cum_baseline_reward,cum_network_reward,day_network_reward,day_pledge_per_QAP,day_rewards_per_sector,1y_return_per_sector,1y_sector_roi
1432,2024-09-16,544119709.542466,47164315.41574468,634084.9260805579,444123.2896475181,200237404.1290046,212086266.56922966,11848862.440224143,17066618.96177341,458418510.09217817,-8.926849680018186e+17,2.0094323043814236e+19,5.5394275416657096e+16,7.443888320641978e+16,120262512.37354746,4.838522094753255e+19,-8.926849680018186e+17,8.501249035688527e+21,992.770702924368,207622650.09994137,327885162.4734888,58045.70077550411,0.11782863984955566,9.925365923921959e-05,,
1433,2024-09-17,544517218.377252,47186189.32969151,702213.726696407,512491.19287019694,200085465.86758402,211911976.93058747,11826511.063002536,17066618.96177341,458605635.6871553,-8.9870529993924e+17,2.0101076307921388e+19,5.5394275416657096e+16,7.296151696426075e+16,120328884.95072106,4.847719339853095e+19,-8.9870529993924e+17,8.500350330388588e+21,992.7234826493661,207614245.03788137,327943129.9886024,57967.51511359215,0.11768033024622601,9.90866669344073e-05,,
1434,2024-09-18,544879340.7567697,47208063.24363834,648817.4629853409,459321.34424318606,199968747.75683072,211772905.2260803,11804157.469248671,17066618.96177341,458792761.28213245,-9.14381963554988e+17,2.009635033247302e+19,5.5394275416657096e+16,9.018037629753829e+16,120395236.52392893,4.856934067422949e+19,-9.14381963554988e+17,8.499435948425032e+21,992.6754343361523,207605692.4586535,328000928.98258245,57798.99398005009,0.11753989040849565,9.882183969887728e-05,,
1435,2024-09-19,545274730.783974,47229937.15758517,698371.3436546875,509114.98792960506,199818594.12060273,211600391.10926303,11781796.988659399,17066618.96177341,458979886.8771096,-9.307217151456563e+17,2.00983939222311e+19,5.5394275416657096e+16,8.002602848787155e+16,120461567.09981793,4.866166310694153e+19,-9.307217151456563e+17,8.498505226709887e+21,992.6265229101163,207596986.11212137,328058553.21193933,57624.229356884956,0.11739117116855681,9.851301810589647e-05,,
1436,2024-09-20,545600111.1042718,47251811.071531996,593010.8586063893,403978.2230914851,199738307.9407233,211497814.59668836,11759506.655964158,17066618.96177341,459167012.4720867,-9.360839234031575e+17,2.0107781907733086e+19,5.5394275416657096e+16,6.900943487200478e+16,120527876.68503274,4.875416102961211e+19,-9.360839234031575e+17,8.497569142786484e+21,992.57732510564,207588228.65359932,328116105.33863205,57552.12669271231,0.11725240289635647,9.83438165759637e-05,,
1437,2024-09-21,545985478.3084369,47273684.985478826,682593.315650754,493809.57260444865,199597885.3020333,211335148.2412,11737262.939165786,17066618.96177341,459354138.06706387,-9.447427616400896e+17,2.011601459410802e+19,5.5394275416657096e+16,7.074238356259116e+16,120594165.28621596,4.8846834775819166e+19,-9.447427616400896e+17,8.496624400024844e+21,992.5276675573394,207579389.22006246,328173554.5062784,57449.16764634848,0.11709802087694209,9.812770618918076e-05,,
1438,2024-09-22,546335599.3300155,47295558.899425656,629401.8657415905,440849.1614334452,199492538.56538582,211207541.25094056,11715002.685553828,17066618.96177341,459541263.662041,-9.62360563556653e+17,2.0112469083813605e+19,5.5394275416657096e+16,8.840967856660872e+16,120660432.91000813,4.893968467977471e+19,-9.62360563556653e+17,8.495662039461287e+21,992.4770791674857,207570383.94655922,328230816.8565674,57262.35028898716,0.11695471309763922,9.782584952982305e-05,,
1439,2024-09-23,546722043.3737142,47317432.813372485,683500.6138038412,495186.2058680703,199350728.8360762,211043546.02869475,11692817.192617644,17066618.96177341,459728389.25701815,-9.669795844171489e+17,2.012284411556361e+19,5.5394275416657096e+16,6.752886549997242e+16,120726679.56304766,4.9032711076326015e+19,-9.669795844171489e+17,8.49469505987687e+21,992.4262430741528,207561334.43394226,328288013.9969899,57197.14042252302,0.11680690358217496,9.766406622390135e-05,,
1440,2024-09-24,547392090.8487726,47339306.727319315,1108568.5162251233,920481.1417899037,198925162.11598483,210595826.14835542,11670664.032369684,17066618.96177341,459915514.8519953,-9.77582359211989e+17,2.0121459425920434e+19,5.5394275416657096e+16,8.516844758974238e+16,120792905.25197084,4.912591430095687e+19,-9.77582359211989e+17,8.493717477517658e+21,992.37484458209,207552184.65870783,328345089.9106787,57075.91368877888,0.1166660801555476,9.746377834476005e-05,,
1441,2024-09-25,547968693.3229182,47361180.641266145,968446.7342820385,780510.9027048838,198592757.34575874,210240911.35718864,11648154.011428988,17066618.96177341,460102640.4469724,-1.0435899454936617e+18,2.0067596051893658e+19,5.5394275416657096e+16,1.6388647416514605e+17,120859109.98341188,4.921929468978873e+19,-1.0435899454936617e+18,8.492673887572165e+21,992.3199700624203,207542415.92921528,328401525.91262716,56436.00194847584,0.11657208176102969,9.662972368344959e-05,,
1442,2024-09-26,548320853.0014615,47383054.555212975,631606.9070445823,443834.85123398184,198484639.50074667,210110316.10275862,11625676.602011032,17066618.96177341,460289766.04194957,-1.0543906076424929e+18,2.0071713050599686e+19,5.5394275416657096e+16,7.691591506593965e+16,120925293.76400292,4.931285257958201e+19,-1.0543906076424929e+18,8.491619496964522e+21,992.264521809353,207532544.8917072,328457838.6557101,56312.74308294058,0.11647049558723294,9.639890298533492e-05,,
1443,2024-09-27,548674811.2694874,47404928.469159804,633936.2459419116,446403.38429819787,198374570.10619158,209977809.9165914,11603239.810398908,17066618.96177341,460476891.6369267,-1.064022109599486e+18,2.0078800247559143e+19,5.5394275416657096e+16,7.246061768579878e+16,120991456.60037394,4.94065883077372e+19,-1.064022109599486e+18,8.490555474854923e+21,992.2085611357622,207522582.4561645,328514039.05653846,56200.40082836151,0.11632212919139939,9.617263207118043e-05,,
1444,2024-09-28,549064306.3991855,47426802.383106634,686883.2843817727,499589.60830294545,198228804.04340178,209809626.2378716,11580822.194468897,17066618.96177341,460664017.23190385,-1.076671463111469e+18,2.0081050992498786e+19,5.5394275416657096e+16,7.971529571552746e+16,121057598.49915287,4.950050221229617e+19,-1.076671463111469e+18,8.489478803391811e+21,992.1519291339541,207512500.32733372,328570098.8264866,56059.769948124886,0.11617376813118001,9.592122589138216e-05,,
1445,2024-09-29,549407773.3516935,47448676.297053464,617495.5009562192,430425.5213773033,198128923.67539582,209687398.97595876,11558475.300562037,17066618.96177341,460851142.826881,-1.0819634373149655e+18,2.0086115779981246e+19,5.5394275416657096e+16,7.549423190129502e+16,121123719.46696551,4.959459463194336e+19,-1.0819634373149655e+18,8.488396839954496e+21,992.0950126426228,207502367.36908576,328626086.8360513,55988.00956469774,0.11603501456588862,9.577428416027442e-05,,
1446,2024-09-30,549849914.0385772,47470550.21100029,765129.8101363826,578300.6443755561,197930219.07823962,209466392.59821492,11536173.519974384,17066618.96177341,461038268.42185813,-1.0908433488573379e+18,2.009143855563717e+19,5.5394275416657096e+16,7.510724964109858e+16,121189819.51043561,4.968886590600697e+19,-1.0908433488573379e+18,8.487305996605639e+21,992.0376227966345,207492149.95372516,328681969.4641608,55882.62810951471,0.11588564353932106,9.556869090493429e-05,,
1447,2024-10-01,550316674.6525421,47492424.12494712,801824.9614570346,615211.750422271,197706691.1223262,209220448.16181013,11513757.039483001,17066618.96177341,461225394.0168353,-1.122430033687935e+18,2.007435410597734e+19,5.5394275416657096e+16,1.0871808761472392e+17,121255898.63618474,4.978331637446016e+19,-1.122430033687935e+18,8.486183566571951e+21,991.9785646287786,207481635.32450587,328737533.9606906,55564.49652981758,0.11575169201037623,9.510550392979758e-05,,
1448,2024-10-02,550628896.2049526,47514298.03889395,569734.2621599128,383319.44935853087,197637559.63555524,209128970.56132308,11491410.925766896,17066618.96177341,461412519.6118124,-1.1277598970621256e+18,2.008548048462725e+19,5.5394275416657096e+16,6.640184515012557e+16,121321956.85083249,4.987794637792244e+19,-1.1277598970621256e+18,8.485055806674889e+21,991.9192193514035,207471069.3807513,328793026.23158383,55492.27089321613,0.11562863035210214,9.492926548590221e-05,,
1449,2024-10-03,550964655.1991333,47536171.95284078,604625.9024201564,418460.4250278731,197544751.49626228,209013895.25636315,11469143.76009992,17066618.96177341,461599645.20678955,-1.1318117128591995e+18,2.009846198855881e+19,5.5394275416657096e+16,6.361915722764351e+16,121387994.16099627,4.99727562576607e+19,-1.1318117128591995e+18,8.483923994962029e+21,991.859654133334,207460464.07877803,328848458.2397743,55432.00819045305,0.11547397358733594,9.476492777014596e-05,,
1450,2024-10-04,551296531.6979282,47558045.86678761,598410.9576684976,412486.25833128224,197455685.35671198,208902635.29012054,11446949.933407597,17066618.96177341,461786770.8017667,-1.1365981810942689e+18,2.010582802235733e+19,5.5394275416657096e+16,7.2042362427201336e+16,121454010.57329138,5.006774635559053e+19,-1.1365981810942689e+18,8.482787396780935e+21,991.7998302306656,207449812.51800498,328903823.0912964,55364.85152208805,0.1153246247437115,9.461544239644162e-05,,
