,Unnamed: 0,date,index,Unnamed: 0.1,cum_sum_baseline,cum_sum_realized,effective_baseline_power,new_baseline_power,total_mined_reward,effective_network_time
52,52,2020-10-15,346964.9947312961,346964.9947312961,4.453413870063071e+22,4.453267506916284e+22,2.91825409245454e+18,3.186195846730343e+18,6.690453656765343e+24,15337.829645240605
53,53,2020-10-16,349819.0048933939,349819.0048933939,4.639953129709535e+22,4.639808000471069e+22,2.919484106907152e+18,3.1922613064325745e+18,6.838701843723567e+24,15976.909472212514
54,54,2020-10-17,352678.4989503149,352678.4989503149,4.829615177135609e+22,4.8294691544977015e+22,2.920734712596743e+18,3.198326084682204e+18,6.991256995422168e+24,16626.412176347098
55,55,2020-10-18,355534.9989492119,355534.9989492119,5.021442221366252e+22,5.021295803566926e+22,2.921999593980173e+18,3.204402986395149e+18,7.143749907496635e+24,17283.046234676007
56,56,2020-10-19,358394.5031424581,358394.5031424581,5.214732374109517e+22,5.214586436888354e+22,2.923274122901712e+18,3.210495080990284e+18,7.29641358373227e+24,17944.401187150837
57,57,2020-10-20,361255.4979006298,361255.4979006298,5.410318893038614e+22,5.410172536659883e+22,2.924563793748883e+18,3.216597154922025e+18,7.449344560175528e+24,18613.31980405878
58,58,2020-10-21,364116.0017464198,364116.0017464198,5.607928553507686e+22,5.607781695872523e+22,2.925866804915612e+18,3.222711252326152e+18,7.603139517821392e+24,19288.858190709045
59,59,2020-10-22,366978.499650594,366978.499650594,5.807737962608896e+22,5.807591577052959e+22,2.927184320924993e+18,3.228841018900766e+18,7.754549991727649e+24,19971.610761705106
60,60,2020-10-23,369833.49508426967,369833.49508426967,6.008810287184927e+22,6.0086638713609625e+22,2.9285101644268795e+18,3.2349805855398886e+18,7.894625255192361e+24,20658.36867977528
61,61,2020-10-24,372685.00245183887,372685.00245183887,6.21178724803521e+22,6.211640426380725e+22,2.9298485668407537e+18,3.241134137788617e+18,8.011460652564056e+24,21351.31628721541
62,62,2020-10-25,375539.49964961456,375539.49964961456,6.417578971143601e+22,6.417432644478198e+22,2.931205529413303e+18,3.247283564995914e+18,8.14744990222379e+24,22053.550105115628
63,63,2020-10-26,378392.9996494917,378392.9996494917,6.627386503227473e+22,6.627243036167989e+22,2.9325889716828774e+18,3.2534602794763725e+18,8.299128947383868e+24,22769.152821591302
64,64,2020-10-27,381247.0007005254,381247.0007005254,6.840114861769613e+22,6.83996845912996e+22,2.933991673484006e+18,3.259644485908524e+18,8.447760122914493e+24,23494.37302977233
65,65,2020-10-28,384103.5010496851,384103.5010496851,7.056944707309557e+22,7.056798287206316e+22,2.9354214199313613e+18,3.265839247203797e+18,8.597818047035755e+24,24233.219034289712
66,66,2020-10-29,386955.9961362838,386955.9961362838,7.277638289764154e+22,7.277491598880602e+22,2.9368766433333e+18,3.2720527493398687e+18,8.746909375781547e+24,24984.861257464
67,67,2020-10-30,389809.0041972718,389809.0041972718,7.50224340394313e+22,7.502096512833716e+22,2.938357658842284e+18,3.2782693456250926e+18,8.896972952424269e+24,25749.44316194473
68,68,2020-10-31,392669.00069905625,392669.00069905625,7.73100305964241e+22,7.730855674814937e+22,2.9398660688317844e+18,3.2844999398121057e+18,9.054977032548026e+24,26527.7714085984
69,69,2020-11-01,395526.9978984238,395526.9978984238,7.96359963563129e+22,7.96345180726684e+22,2.941399778950698e+18,3.2907446494778547e+18,9.208480230706922e+24,27318.745359019264
70,70,2020-11-02,398380.99929898354,398380.99929898354,8.199747911567225e+22,8.199601187461699e+22,2.9429569084949617e+18,3.296993573372928e+18,9.36693710072236e+24,28121.37504381353
71,71,2020-11-03,401240.00418848166,401240.00418848166,8.441659699750238e+22,8.441511730699734e+22,2.944552041853411e+18,3.303267198316808e+18,9.528374062863804e+24,28943.15392670157
72,72,2020-11-04,404096.4940308989,404096.4940308989,8.686913085635509e+22,8.686765702764082e+22,2.9461692092516444e+18,3.309544492592651e+18,9.690399740668916e+24,29775.830056179777
73,73,2020-11-05,406945.5007017544,406945.5007017544,8.936517558274892e+22,8.936370208140767e+22,2.9478150671228774e+18,3.3158324439057807e+18,9.854477898439666e+24,30622.80947368421
74,74,2020-11-06,409798.0017513135,409798.0017513135,9.19094143020946e+22,9.190792865460973e+22,2.9494927034561736e+18,3.3221318093479644e+18,1.00188052525125e+25,31485.656042031525
75,75,2020-11-07,412654.000700035,412654.000700035,9.450409060802553e+22,9.450261789402088e+22,2.9512035976465946e+18,3.328453473874874e+18,1.0184211564835192e+25,32365.10255512776
76,76,2020-11-08,415512.5010489511,415512.5010489511,9.71366902646498e+22,9.713521387276149e+22,2.952939497977564e+18,3.334779805647706e+18,1.03501474198617e+25,33256.88216783217
77,77,2020-11-09,418367.9968432129,418367.9968432129,9.980858744360668e+22,9.980710924975593e+22,2.954701310559129e+18,3.3411204134086707e+18,1.0515579968738995e+25,34161.437390389336
78,78,2020-11-10,421224.5038434661,421224.5038434661,1.0254182971391836e+23,1.025403477662507e+23,2.956503573257794e+18,3.34746783785308e+18,1.0681268565702442e+25,35086.20265548567
79,79,2020-11-11,424083.4978991597,424083.4978991597,1.05328168558019e+23,1.0532669315655877e+23,2.958340847113503e+18,3.3538313249665603e+18,1.084926983266866e+25,36028.35294117647
80,80,2020-11-12,426936.4978947368,426936.4978947368,1.0816067223904187e+23,1.0815911833363906e+23,2.960208561433448e+18,3.360207955062476e+18,1.1018862909194649e+25,36985.51298245614
81,81,2020-11-13,429786.5,429786.5,1.110525789535229e+23,1.1105109961538872e+23,2.962115445303985e+18,3.3665903269194977e+18,1.1190329276444749e+25,37962.12385964912
82,82,2020-11-14,432642.5041928721,432642.5041928721,1.140034576324781e+23,1.1400197723590156e+23,2.9640612144841027e+18,3.372991466126398e+18,1.1361668106314014e+25,38958.00209643606
